track_name,artist_name,streams,stream_change,streams_7day,genre,country,pos,days,viral_score,trend,popularity_category,longevity,stream_change_direction,streams_millions,streams_7day_millions,artist_track
Hips Don't Lie (w/ Wyclef Jean),Shakira,1330852,24927,6218904,Pop,CO,148,338,7549756,Rising,Average,Evergreen,Increasing,1.330852,6.218904,Shakira - Hips Don't Lie (w/ Wyclef Jean)
Me Rehúso,Danny Ocean,1326162,-38797,8914757,Soundtrack,US,149,617,10240919,Falling,Average,Evergreen,Decreasing,1.326162,8.914757,Danny Ocean - Me Rehúso
"VeLDÁ (w/ Omar Courtz, Dei V)",Bad Bunny,1326149,-90827,9468025,Reggaeton,PR,150,395,10794174,Falling,Average,Evergreen,Decreasing,1.326149,9.468025,"Bad Bunny - VeLDÁ (w/ Omar Courtz, Dei V)"
Style,Taylor Swift,1311077,-73973,8934698,Pop,US,152,347,10245775,Falling,Average,Evergreen,Decreasing,1.311077,8.934698,Taylor Swift - Style
Payphone (w/ Wiz Khalifa),Maroon 5,1306200,-28788,9226178,Pop,US,153,712,10532378,Falling,Average,Evergreen,Decreasing,1.3062,9.226178,Maroon 5 - Payphone (w/ Wiz Khalifa)
Please Please Please,Sabrina Carpenter,1296957,-1727,5009467,Pop,US,154,503,6306424,Falling,Average,Evergreen,Decreasing,1.296957,5.009467,Sabrina Carpenter - Please Please Please
TU SANCHO,Fuerza Regida,1296297,19803,8708123,Billboard Hot 100,MX,155,284,10004420,Rising,Average,Evergreen,Increasing,1.296297,8.708123,Fuerza Regida - TU SANCHO
Shut up My Moms Calling,Hotel Ugly,1294677,-8737,9158699,R&B,US,156,773,10453376,Falling,Average,Evergreen,Decreasing,1.294677,9.158699,Hotel Ugly - Shut up My Moms Calling
"Ready, Steady, Go!",Harry Styles,1294001,-190275,11338844,Pop,England,157,16,12632845,Falling,Average,New,Decreasing,1.294001,11.338844,"Harry Styles - Ready, Steady, Go!"
We Found Love (w/ Calvin Harris),Rihanna,1292535,-110188,7904030,Pop,US,158,823,9196565,Falling,Average,Evergreen,Decreasing,1.292535,7.90403,Rihanna - We Found Love (w/ Calvin Harris)
Sex on Fire,Kings of Leon,1290404,5746,3835428,Alternative Rock,US,159,63,5125832,Rising,Average,Stable Hit,Increasing,1.290404,3.835428,Kings of Leon - Sex on Fire
